question,option_a,option_b,option_c,option_d,answer
Classical conditioning was first studied by: (Variant 41),Pavlov,Skinner,Bandura,Thorndike,Pavlov
The part of the brain responsible for vision: (Variant 42),Occipital lobe,Frontal lobe,Parietal lobe,Cerebellum,Occipital lobe
Memory responsible for temporary storage: (Variant 43),STM,LTM,Sensory memory,Implicit memory,STM
Founder of psychoanalysis: (Variant 44),Freud,Jung,Adler,Erikson,Freud
Chemical messengers in the brain are called: (Variant 45),Neurotransmitters,Neurons,Hormones,Receptors,Neurotransmitters
The ‘fight or flight’ response is activated by: (Variant 46),Sympathetic NS,Parasympathetic NS,PNS,Somatic NS,Sympathetic NS
Reinforcement strengthens: (Variant 47),Behaviour,Cognition,Emotions,Memory,Behaviour
The hippocampus is crucial for: (Variant 48),Memory,Speech,Vision,Motor control,Memory
Bystander effect was demonstrated by: (Variant 49),Darley & Latané,Skinner,Freud,Piaget,Darley & Latané
The DSM-5 is used for: (Variant 50),Diagnosis,Memory testing,Brain imaging,Personality typing,Diagnosis
Classical conditioning was first studied by: (Variant 51),Pavlov,Skinner,Bandura,Thorndike,Pavlov
The part of the brain responsible for vision: (Variant 52),Occipital lobe,Frontal lobe,Parietal lobe,Cerebellum,Occipital lobe
Memory responsible for temporary storage: (Variant 53),STM,LTM,Sensory memory,Implicit memory,STM
Founder of psychoanalysis: (Variant 54),Freud,Jung,Adler,Erikson,Freud
Chemical messengers in the brain are called: (Variant 55),Neurotransmitters,Neurons,Hormones,Receptors,Neurotransmitters
The ‘fight or flight’ response is activated by: (Variant 56),Sympathetic NS,Parasympathetic NS,PNS,Somatic NS,Sympathetic NS
Reinforcement strengthens: (Variant 57),Behaviour,Cognition,Emotions,Memory,Behaviour
The hippocampus is crucial for: (Variant 58),Memory,Speech,Vision,Motor control,Memory
Bystander effect was demonstrated by: (Variant 59),Darley & Latané,Skinner,Freud,Piaget,Darley & Latané
The DSM-5 is used for: (Variant 60),Diagnosis,Memory testing,Brain imaging,Personality typing,Diagnosis
Classical conditioning was first studied by: (Variant 61),Pavlov,Skinner,Bandura,Thorndike,Pavlov
The part of the brain responsible for vision: (Variant 62),Occipital lobe,Frontal lobe,Parietal lobe,Cerebellum,Occipital lobe
Memory responsible for temporary storage: (Variant 63),STM,LTM,Sensory memory,Implicit memory,STM
Founder of psychoanalysis: (Variant 64),Freud,Jung,Adler,Erikson,Freud
Chemical messengers in the brain are called: (Variant 65),Neurotransmitters,Neurons,Hormones,Receptors,Neurotransmitters
The ‘fight or flight’ response is activated by: (Variant 66),Sympathetic NS,Parasympathetic NS,PNS,Somatic NS,Sympathetic NS
Reinforcement strengthens: (Variant 67),Behaviour,Cognition,Emotions,Memory,Behaviour
The hippocampus is crucial for: (Variant 68),Memory,Speech,Vision,Motor control,Memory
Bystander effect was demonstrated by: (Variant 69),Darley & Latané,Skinner,Freud,Piaget,Darley & Latané
The DSM-5 is used for: (Variant 70),Diagnosis,Memory testing,Brain imaging,Personality typing,Diagnosis
Classical conditioning was first studied by: (Variant 71),Pavlov,Skinner,Bandura,Thorndike,Pavlov
The part of the brain responsible for vision: (Variant 72),Occipital lobe,Frontal lobe,Parietal lobe,Cerebellum,Occipital lobe
Memory responsible for temporary storage: (Variant 73),STM,LTM,Sensory memory,Implicit memory,STM
Founder of psychoanalysis: (Variant 74),Freud,Jung,Adler,Erikson,Freud
Chemical messengers in the brain are called: (Variant 75),Neurotransmitters,Neurons,Hormones,Receptors,Neurotransmitters
The ‘fight or flight’ response is activated by: (Variant 76),Sympathetic NS,Parasympathetic NS,PNS,Somatic NS,Sympathetic NS
Reinforcement strengthens: (Variant 77),Behaviour,Cognition,Emotions,Memory,Behaviour
The hippocampus is crucial for: (Variant 78),Memory,Speech,Vision,Motor control,Memory
Bystander effect was demonstrated by: (Variant 79),Darley & Latané,Skinner,Freud,Piaget,Darley & Latané
The DSM-5 is used for: (Variant 80),Diagnosis,Memory testing,Brain imaging,Personality typing,Diagnosis
Classical conditioning was first studied by: (Variant 81),Pavlov,Skinner,Bandura,Thorndike,Pavlov
The part of the brain responsible for vision: (Variant 82),Occipital lobe,Frontal lobe,Parietal lobe,Cerebellum,Occipital lobe
Memory responsible for temporary storage: (Variant 83),STM,LTM,Sensory memory,Implicit memory,STM
Founder of psychoanalysis: (Variant 84),Freud,Jung,Adler,Erikson,Freud
Chemical messengers in the brain are called: (Variant 85),Neurotransmitters,Neurons,Hormones,Receptors,Neurotransmitters
The ‘fight or flight’ response is activated by: (Variant 86),Sympathetic NS,Parasympathetic NS,PNS,Somatic NS,Sympathetic NS
Reinforcement strengthens: (Variant 87),Behaviour,Cognition,Emotions,Memory,Behaviour
The hippocampus is crucial for: (Variant 88),Memory,Speech,Vision,Motor control,Memory
Bystander effect was demonstrated by: (Variant 89),Darley & Latané,Skinner,Freud,Piaget,Darley & Latané
The DSM-5 is used for: (Variant 90),Diagnosis,Memory testing,Brain imaging,Personality typing,Diagnosis
Classical conditioning was first studied by: (Variant 91),Pavlov,Skinner,Bandura,Thorndike,Pavlov
The part of the brain responsible for vision: (Variant 92),Occipital lobe,Frontal lobe,Parietal lobe,Cerebellum,Occipital lobe
Memory responsible for temporary storage: (Variant 93),STM,LTM,Sensory memory,Implicit memory,STM
Founder of psychoanalysis: (Variant 94),Freud,Jung,Adler,Erikson,Freud
Chemical messengers in the brain are called: (Variant 95),Neurotransmitters,Neurons,Hormones,Receptors,Neurotransmitters
The ‘fight or flight’ response is activated by: (Variant 96),Sympathetic NS,Parasympathetic NS,PNS,Somatic NS,Sympathetic NS
Reinforcement strengthens: (Variant 97),Behaviour,Cognition,Emotions,Memory,Behaviour
The hippocampus is crucial for: (Variant 98),Memory,Speech,Vision,Motor control,Memory
Bystander effect was demonstrated by: (Variant 99),Darley & Latané,Skinner,Freud,Piaget,Darley & Latané
The DSM-5 is used for: (Variant 100),Diagnosis,Memory testing,Brain imaging,Personality typing,Diagnosis
Classical conditioning was first studied by: (Variant 101),Pavlov,Skinner,Bandura,Thorndike,Pavlov
The part of the brain responsible for vision: (Variant 102),Occipital lobe,Frontal lobe,Parietal lobe,Cerebellum,Occipital lobe
Memory responsible for temporary storage: (Variant 103),STM,LTM,Sensory memory,Implicit memory,STM
Founder of psychoanalysis: (Variant 104),Freud,Jung,Adler,Erikson,Freud
Chemical messengers in the brain are called: (Variant 105),Neurotransmitters,Neurons,Hormones,Receptors,Neurotransmitters
The ‘fight or flight’ response is activated by: (Variant 106),Sympathetic NS,Parasympathetic NS,PNS,Somatic NS,Sympathetic NS
Reinforcement strengthens: (Variant 107),Behaviour,Cognition,Emotions,Memory,Behaviour
The hippocampus is crucial for: (Variant 108),Memory,Speech,Vision,Motor control,Memory
Bystander effect was demonstrated by: (Variant 109),Darley & Latané,Skinner,Freud,Piaget,Darley & Latané
The DSM-5 is used for: (Variant 110),Diagnosis,Memory testing,Brain imaging,Personality typing,Diagnosis
Classical conditioning was first studied by: (Variant 111),Pavlov,Skinner,Bandura,Thorndike,Pavlov
The part of the brain responsible for vision: (Variant 112),Occipital lobe,Frontal lobe,Parietal lobe,Cerebellum,Occipital lobe
Memory responsible for temporary storage: (Variant 113),STM,LTM,Sensory memory,Implicit memory,STM
Founder of psychoanalysis: (Variant 114),Freud,Jung,Adler,Erikson,Freud
Chemical messengers in the brain are called: (Variant 115),Neurotransmitters,Neurons,Hormones,Receptors,Neurotransmitters
The ‘fight or flight’ response is activated by: (Variant 116),Sympathetic NS,Parasympathetic NS,PNS,Somatic NS,Sympathetic NS
Reinforcement strengthens: (Variant 117),Behaviour,Cognition,Emotions,Memory,Behaviour
The hippocampus is crucial for: (Variant 118),Memory,Speech,Vision,Motor control,Memory
Bystander effect was demonstrated by: (Variant 119),Darley & Latané,Skinner,Freud,Piaget,Darley & Latané
The DSM-5 is used for: (Variant 120),Diagnosis,Memory testing,Brain imaging,Personality typing,Diagnosis
Classical conditioning was first studied by: (Variant 121),Pavlov,Skinner,Bandura,Thorndike,Pavlov
The part of the brain responsible for vision: (Variant 122),Occipital lobe,Frontal lobe,Parietal lobe,Cerebellum,Occipital lobe
Memory responsible for temporary storage: (Variant 123),STM,LTM,Sensory memory,Implicit memory,STM
Founder of psychoanalysis: (Variant 124),Freud,Jung,Adler,Erikson,Freud
Chemical messengers in the brain are called: (Variant 125),Neurotransmitters,Neurons,Hormones,Receptors,Neurotransmitters
The ‘fight or flight’ response is activated by: (Variant 126),Sympathetic NS,Parasympathetic NS,PNS,Somatic NS,Sympathetic NS
Reinforcement strengthens: (Variant 127),Behaviour,Cognition,Emotions,Memory,Behaviour
The hippocampus is crucial for: (Variant 128),Memory,Speech,Vision,Motor control,Memory
Bystander effect was demonstrated by: (Variant 129),Darley & Latané,Skinner,Freud,Piaget,Darley & Latané
The DSM-5 is used for: (Variant 130),Diagnosis,Memory testing,Brain imaging,Personality typing,Diagnosis
Classical conditioning was first studied by: (Variant 131),Pavlov,Skinner,Bandura,Thorndike,Pavlov
The part of the brain responsible for vision: (Variant 132),Occipital lobe,Frontal lobe,Parietal lobe,Cerebellum,Occipital lobe
Memory responsible for temporary storage: (Variant 133),STM,LTM,Sensory memory,Implicit memory,STM
Founder of psychoanalysis: (Variant 134),Freud,Jung,Adler,Erikson,Freud
Chemical messengers in the brain are called: (Variant 135),Neurotransmitters,Neurons,Hormones,Receptors,Neurotransmitters
The ‘fight or flight’ response is activated by: (Variant 136),Sympathetic NS,Parasympathetic NS,PNS,Somatic NS,Sympathetic NS
Reinforcement strengthens: (Variant 137),Behaviour,Cognition,Emotions,Memory,Behaviour
The hippocampus is crucial for: (Variant 138),Memory,Speech,Vision,Motor control,Memory
Bystander effect was demonstrated by: (Variant 139),Darley & Latané,Skinner,Freud,Piaget,Darley & Latané
The DSM-5 is used for: (Variant 140),Diagnosis,Memory testing,Brain imaging,Personality typing,Diagnosis
Classical conditioning was first studied by: (Variant 141),Pavlov,Skinner,Bandura,Thorndike,Pavlov
The part of the brain responsible for vision: (Variant 142),Occipital lobe,Frontal lobe,Parietal lobe,Cerebellum,Occipital lobe
Memory responsible for temporary storage: (Variant 143),STM,LTM,Sensory memory,Implicit memory,STM
Founder of psychoanalysis: (Variant 144),Freud,Jung,Adler,Erikson,Freud
Chemical messengers in the brain are called: (Variant 145),Neurotransmitters,Neurons,Hormones,Receptors,Neurotransmitters
The ‘fight or flight’ response is activated by: (Variant 146),Sympathetic NS,Parasympathetic NS,PNS,Somatic NS,Sympathetic NS
Reinforcement strengthens: (Variant 147),Behaviour,Cognition,Emotions,Memory,Behaviour
The hippocampus is crucial for: (Variant 148),Memory,Speech,Vision,Motor control,Memory
Bystander effect was demonstrated by: (Variant 149),Darley & Latané,Skinner,Freud,Piaget,Darley & Latané
The DSM-5 is used for: (Variant 150),Diagnosis,Memory testing,Brain imaging,Personality typing,Diagnosis
Classical conditioning was first studied by: (Variant 151),Pavlov,Skinner,Bandura,Thorndike,Pavlov
The part of the brain responsible for vision: (Variant 152),Occipital lobe,Frontal lobe,Parietal lobe,Cerebellum,Occipital lobe
Memory responsible for temporary storage: (Variant 153),STM,LTM,Sensory memory,Implicit memory,STM
Founder of psychoanalysis: (Variant 154),Freud,Jung,Adler,Erikson,Freud
Chemical messengers in the brain are called: (Variant 155),Neurotransmitters,Neurons,Hormones,Receptors,Neurotransmitters
The ‘fight or flight’ response is activated by: (Variant 156),Sympathetic NS,Parasympathetic NS,PNS,Somatic NS,Sympathetic NS
Reinforcement strengthens: (Variant 157),Behaviour,Cognition,Emotions,Memory,Behaviour
The hippocampus is crucial for: (Variant 158),Memory,Speech,Vision,Motor control,Memory
Bystander effect was demonstrated by: (Variant 159),Darley & Latané,Skinner,Freud,Piaget,Darley & Latané
The DSM-5 is used for: (Variant 160),Diagnosis,Memory testing,Brain imaging,Personality typing,Diagnosis
Classical conditioning was first studied by: (Variant 161),Pavlov,Skinner,Bandura,Thorndike,Pavlov
The part of the brain responsible for vision: (Variant 162),Occipital lobe,Frontal lobe,Parietal lobe,Cerebellum,Occipital lobe
Memory responsible for temporary storage: (Variant 163),STM,LTM,Sensory memory,Implicit memory,STM
Founder of psychoanalysis: (Variant 164),Freud,Jung,Adler,Erikson,Freud
Chemical messengers in the brain are called: (Variant 165),Neurotransmitters,Neurons,Hormones,Receptors,Neurotransmitters
The ‘fight or flight’ response is activated by: (Variant 166),Sympathetic NS,Parasympathetic NS,PNS,Somatic NS,Sympathetic NS
Reinforcement strengthens: (Variant 167),Behaviour,Cognition,Emotions,Memory,Behaviour
The hippocampus is crucial for: (Variant 168),Memory,Speech,Vision,Motor control,Memory
Bystander effect was demonstrated by: (Variant 169),Darley & Latané,Skinner,Freud,Piaget,Darley & Latané
The DSM-5 is used for: (Variant 170),Diagnosis,Memory testing,Brain imaging,Personality typing,Diagnosis
Classical conditioning was first studied by: (Variant 171),Pavlov,Skinner,Bandura,Thorndike,Pavlov
The part of the brain responsible for vision: (Variant 172),Occipital lobe,Frontal lobe,Parietal lobe,Cerebellum,Occipital lobe
Memory responsible for temporary storage: (Variant 173),STM,LTM,Sensory memory,Implicit memory,STM
Founder of psychoanalysis: (Variant 174),Freud,Jung,Adler,Erikson,Freud
Chemical messengers in the brain are called: (Variant 175),Neurotransmitters,Neurons,Hormones,Receptors,Neurotransmitters
The ‘fight or flight’ response is activated by: (Variant 176),Sympathetic NS,Parasympathetic NS,PNS,Somatic NS,Sympathetic NS
Reinforcement strengthens: (Variant 177),Behaviour,Cognition,Emotions,Memory,Behaviour
The hippocampus is crucial for: (Variant 178),Memory,Speech,Vision,Motor control,Memory
Bystander effect was demonstrated by: (Variant 179),Darley & Latané,Skinner,Freud,Piaget,Darley & Latané
The DSM-5 is used for: (Variant 180),Diagnosis,Memory testing,Brain imaging,Personality typing,Diagnosis
Classical conditioning was first studied by: (Variant 181),Pavlov,Skinner,Bandura,Thorndike,Pavlov
The part of the brain responsible for vision: (Variant 182),Occipital lobe,Frontal lobe,Parietal lobe,Cerebellum,Occipital lobe
Memory responsible for temporary storage: (Variant 183),STM,LTM,Sensory memory,Implicit memory,STM
Founder of psychoanalysis: (Variant 184),Freud,Jung,Adler,Erikson,Freud
Chemical messengers in the brain are called: (Variant 185),Neurotransmitters,Neurons,Hormones,Receptors,Neurotransmitters
The ‘fight or flight’ response is activated by: (Variant 186),Sympathetic NS,Parasympathetic NS,PNS,Somatic NS,Sympathetic NS
Reinforcement strengthens: (Variant 187),Behaviour,Cognition,Emotions,Memory,Behaviour
The hippocampus is crucial for: (Variant 188),Memory,Speech,Vision,Motor control,Memory
Bystander effect was demonstrated by: (Variant 189),Darley & Latané,Skinner,Freud,Piaget,Darley & Latané
The DSM-5 is used for: (Variant 190),Diagnosis,Memory testing,Brain imaging,Personality typing,Diagnosis
Classical conditioning was first studied by: (Variant 191),Pavlov,Skinner,Bandura,Thorndike,Pavlov
The part of the brain responsible for vision: (Variant 192),Occipital lobe,Frontal lobe,Parietal lobe,Cerebellum,Occipital lobe
Memory responsible for temporary storage: (Variant 193),STM,LTM,Sensory memory,Implicit memory,STM
Founder of psychoanalysis: (Variant 194),Freud,Jung,Adler,Erikson,Freud
Chemical messengers in the brain are called: (Variant 195),Neurotransmitters,Neurons,Hormones,Receptors,Neurotransmitters
The ‘fight or flight’ response is activated by: (Variant 196),Sympathetic NS,Parasympathetic NS,PNS,Somatic NS,Sympathetic NS
Reinforcement strengthens: (Variant 197),Behaviour,Cognition,Emotions,Memory,Behaviour
The hippocampus is crucial for: (Variant 198),Memory,Speech,Vision,Motor control,Memory
Bystander effect was demonstrated by: (Variant 199),Darley & Latané,Skinner,Freud,Piaget,Darley & Latané
The DSM-5 is used for: (Variant 200),Diagnosis,Memory testing,Brain imaging,Personality typing,Diagnosis
Classical conditioning was first studied by: (Variant 201),Pavlov,Skinner,Bandura,Thorndike,Pavlov
The part of the brain responsible for vision: (Variant 202),Occipital lobe,Frontal lobe,Parietal lobe,Cerebellum,Occipital lobe
Memory responsible for temporary storage: (Variant 203),STM,LTM,Sensory memory,Implicit memory,STM
Founder of psychoanalysis: (Variant 204),Freud,Jung,Adler,Erikson,Freud
Chemical messengers in the brain are called: (Variant 205),Neurotransmitters,Neurons,Hormones,Receptors,Neurotransmitters
The ‘fight or flight’ response is activated by: (Variant 206),Sympathetic NS,Parasympathetic NS,PNS,Somatic NS,Sympathetic NS
Reinforcement strengthens: (Variant 207),Behaviour,Cognition,Emotions,Memory,Behaviour
The hippocampus is crucial for: (Variant 208),Memory,Speech,Vision,Motor control,Memory
Bystander effect was demonstrated by: (Variant 209),Darley & Latané,Skinner,Freud,Piaget,Darley & Latané
The DSM-5 is used for: (Variant 210),Diagnosis,Memory testing,Brain imaging,Personality typing,Diagnosis
Classical conditioning was first studied by: (Variant 211),Pavlov,Skinner,Bandura,Thorndike,Pavlov
The part of the brain responsible for vision: (Variant 212),Occipital lobe,Frontal lobe,Parietal lobe,Cerebellum,Occipital lobe
Memory responsible for temporary storage: (Variant 213),STM,LTM,Sensory memory,Implicit memory,STM
Founder of psychoanalysis: (Variant 214),Freud,Jung,Adler,Erikson,Freud
Chemical messengers in the brain are called: (Variant 215),Neurotransmitters,Neurons,Hormones,Receptors,Neurotransmitters
The ‘fight or flight’ response is activated by: (Variant 216),Sympathetic NS,Parasympathetic NS,PNS,Somatic NS,Sympathetic NS
Reinforcement strengthens: (Variant 217),Behaviour,Cognition,Emotions,Memory,Behaviour
The hippocampus is crucial for: (Variant 218),Memory,Speech,Vision,Motor control,Memory
Bystander effect was demonstrated by: (Variant 219),Darley & Latané,Skinner,Freud,Piaget,Darley & Latané
The DSM-5 is used for: (Variant 220),Diagnosis,Memory testing,Brain imaging,Personality typing,Diagnosis
Classical conditioning was first studied by: (Variant 221),Pavlov,Skinner,Bandura,Thorndike,Pavlov
The part of the brain responsible for vision: (Variant 222),Occipital lobe,Frontal lobe,Parietal lobe,Cerebellum,Occipital lobe
Memory responsible for temporary storage: (Variant 223),STM,LTM,Sensory memory,Implicit memory,STM
Founder of psychoanalysis: (Variant 224),Freud,Jung,Adler,Erikson,Freud
Chemical messengers in the brain are called: (Variant 225),Neurotransmitters,Neurons,Hormones,Receptors,Neurotransmitters
The ‘fight or flight’ response is activated by: (Variant 226),Sympathetic NS,Parasympathetic NS,PNS,Somatic NS,Sympathetic NS
Reinforcement strengthens: (Variant 227),Behaviour,Cognition,Emotions,Memory,Behaviour
The hippocampus is crucial for: (Variant 228),Memory,Speech,Vision,Motor control,Memory
Bystander effect was demonstrated by: (Variant 229),Darley & Latané,Skinner,Freud,Piaget,Darley & Latané
The DSM-5 is used for: (Variant 230),Diagnosis,Memory testing,Brain imaging,Personality typing,Diagnosis
Classical conditioning was first studied by: (Variant 231),Pavlov,Skinner,Bandura,Thorndike,Pavlov
The part of the brain responsible for vision: (Variant 232),Occipital lobe,Frontal lobe,Parietal lobe,Cerebellum,Occipital lobe
Memory responsible for temporary storage: (Variant 233),STM,LTM,Sensory memory,Implicit memory,STM
Founder of psychoanalysis: (Variant 234),Freud,Jung,Adler,Erikson,Freud
Chemical messengers in the brain are called: (Variant 235),Neurotransmitters,Neurons,Hormones,Receptors,Neurotransmitters
The ‘fight or flight’ response is activated by: (Variant 236),Sympathetic NS,Parasympathetic NS,PNS,Somatic NS,Sympathetic NS
Reinforcement strengthens: (Variant 237),Behaviour,Cognition,Emotions,Memory,Behaviour
The hippocampus is crucial for: (Variant 238),Memory,Speech,Vision,Motor control,Memory
Bystander effect was demonstrated by: (Variant 239),Darley & Latané,Skinner,Freud,Piaget,Darley & Latané
The DSM-5 is used for: (Variant 240),Diagnosis,Memory testing,Brain imaging,Personality typing,Diagnosis
Classical conditioning was first studied by: (Variant 241),Pavlov,Skinner,Bandura,Thorndike,Pavlov
The part of the brain responsible for vision: (Variant 242),Occipital lobe,Frontal lobe,Parietal lobe,Cerebellum,Occipital lobe
Memory responsible for temporary storage: (Variant 243),STM,LTM,Sensory memory,Implicit memory,STM
Founder of psychoanalysis: (Variant 244),Freud,Jung,Adler,Erikson,Freud
Chemical messengers in the brain are called: (Variant 245),Neurotransmitters,Neurons,Hormones,Receptors,Neurotransmitters
The ‘fight or flight’ response is activated by: (Variant 246),Sympathetic NS,Parasympathetic NS,PNS,Somatic NS,Sympathetic NS
Reinforcement strengthens: (Variant 247),Behaviour,Cognition,Emotions,Memory,Behaviour
The hippocampus is crucial for: (Variant 248),Memory,Speech,Vision,Motor control,Memory
Bystander effect was demonstrated by: (Variant 249),Darley & Latané,Skinner,Freud,Piaget,Darley & Latané
The DSM-5 is used for: (Variant 250),Diagnosis,Memory testing,Brain imaging,Personality typing,Diagnosis
Classical conditioning was first studied by: (Variant 251),Pavlov,Skinner,Bandura,Thorndike,Pavlov
The part of the brain responsible for vision: (Variant 252),Occipital lobe,Frontal lobe,Parietal lobe,Cerebellum,Occipital lobe
Memory responsible for temporary storage: (Variant 253),STM,LTM,Sensory memory,Implicit memory,STM
Founder of psychoanalysis: (Variant 254),Freud,Jung,Adler,Erikson,Freud
Chemical messengers in the brain are called: (Variant 255),Neurotransmitters,Neurons,Hormones,Receptors,Neurotransmitters
The ‘fight or flight’ response is activated by: (Variant 256),Sympathetic NS,Parasympathetic NS,PNS,Somatic NS,Sympathetic NS
Reinforcement strengthens: (Variant 257),Behaviour,Cognition,Emotions,Memory,Behaviour
The hippocampus is crucial for: (Variant 258),Memory,Speech,Vision,Motor control,Memory
Bystander effect was demonstrated by: (Variant 259),Darley & Latané,Skinner,Freud,Piaget,Darley & Latané
The DSM-5 is used for: (Variant 260),Diagnosis,Memory testing,Brain imaging,Personality typing,Diagnosis
Classical conditioning was first studied by: (Variant 261),Pavlov,Skinner,Bandura,Thorndike,Pavlov
The part of the brain responsible for vision: (Variant 262),Occipital lobe,Frontal lobe,Parietal lobe,Cerebellum,Occipital lobe
Memory responsible for temporary storage: (Variant 263),STM,LTM,Sensory memory,Implicit memory,STM
Founder of psychoanalysis: (Variant 264),Freud,Jung,Adler,Erikson,Freud
Chemical messengers in the brain are called: (Variant 265),Neurotransmitters,Neurons,Hormones,Receptors,Neurotransmitters
The ‘fight or flight’ response is activated by: (Variant 266),Sympathetic NS,Parasympathetic NS,PNS,Somatic NS,Sympathetic NS
Reinforcement strengthens: (Variant 267),Behaviour,Cognition,Emotions,Memory,Behaviour
The hippocampus is crucial for: (Variant 268),Memory,Speech,Vision,Motor control,Memory
Bystander effect was demonstrated by: (Variant 269),Darley & Latané,Skinner,Freud,Piaget,Darley & Latané
The DSM-5 is used for: (Variant 270),Diagnosis,Memory testing,Brain imaging,Personality typing,Diagnosis
Classical conditioning was first studied by: (Variant 271),Pavlov,Skinner,Bandura,Thorndike,Pavlov
The part of the brain responsible for vision: (Variant 272),Occipital lobe,Frontal lobe,Parietal lobe,Cerebellum,Occipital lobe
Memory responsible for temporary storage: (Variant 273),STM,LTM,Sensory memory,Implicit memory,STM
Founder of psychoanalysis: (Variant 274),Freud,Jung,Adler,Erikson,Freud
Chemical messengers in the brain are called: (Variant 275),Neurotransmitters,Neurons,Hormones,Receptors,Neurotransmitters
The ‘fight or flight’ response is activated by: (Variant 276),Sympathetic NS,Parasympathetic NS,PNS,Somatic NS,Sympathetic NS
Reinforcement strengthens: (Variant 277),Behaviour,Cognition,Emotions,Memory,Behaviour
The hippocampus is crucial for: (Variant 278),Memory,Speech,Vision,Motor control,Memory
Bystander effect was demonstrated by: (Variant 279),Darley & Latané,Skinner,Freud,Piaget,Darley & Latané
The DSM-5 is used for: (Variant 280),Diagnosis,Memory testing,Brain imaging,Personality typing,Diagnosis
Classical conditioning was first studied by: (Variant 281),Pavlov,Skinner,Bandura,Thorndike,Pavlov
The part of the brain responsible for vision: (Variant 282),Occipital lobe,Frontal lobe,Parietal lobe,Cerebellum,Occipital lobe
